Time(h)	Light  
9.7194	50	   
9.7361	50	   
9.7528	50	   
9.7695	50	   
9.7862	50	   
9.8029	50	   
9.8196	50	   
9.8363	50	   
9.853	50	   
9.8697	50	   
9.8864	50	   
9.9031	50	   
9.9198	50	   
9.9365	50	   
9.9532	50	   
9.9699	50	   
9.9866	50	   
10.0033	50	   
10.02	50	   
10.0367	50	   
10.0534	50	   
10.0701	50	   
10.0868	50	   
10.1035	1500	   
10.1202	1500	   
10.1369	1500	   
10.1536	1500	   
10.1703	1500	   
10.187	1500	   
10.2037	1500	   
10.2204	1500	   
10.2371	1500	   
10.2538	1500	   
10.2705	50	   
10.2872	50	   
10.3039	50	   
10.3206	50	   
10.3373	50	   
10.354	50	   
10.3707	50	   
10.3874	50	   
10.4041	50	   
10.4208	50	   
10.4375	50	   
10.4542	50	   
10.4709	50	   
10.4876	50	   
10.5043	50	   
10.521	50	   
10.5377	50	   
10.5544	50	   
10.5711	50	   
10.5878	50	   
10.6045	50	   
10.6212	50	   
10.6379	50	   
10.6546	50	   
10.6713	50	   
10.688	50	   
10.7047	50	   
10.7214	50	   
10.7381	50	   
10.7548	50	   
10.7715	1500	   
10.7882	1500	   
10.8049	1500	   
10.8216	1500	   
10.8383	1500	   
10.855	1500	   
10.8717	1500	   
10.8884	1500	   
10.9051	1500	   
10.9218	1500	   
10.9385	50	   
10.9552	50	   
10.9719	50	   
10.9886	50	   
11.0053	50	   
11.022	50	   
11.0387	50	   
11.0554	50	   
11.0721	50	   
11.0888	50	   
11.1055	50	   
11.1222	50	   
11.1389	50	   
11.1556	50	   
11.1723	50	   
11.189	50	   
11.2057	50	   
11.2224	50	   
11.2391	50	   
11.2558	50	   
11.2725	50	   
11.2892	50	   
11.3059	50	   
11.3226	50	   
11.3393	50	   
11.356	50	   
11.3727	50	   
11.3894	50	   
11.4061	50	   
11.4228	50	   
11.4395	1500	   
11.4562	1500	   
11.4729	1500	   
11.4896	1500	   
11.5063	1500	   
11.523	1500	   
11.5397	1500	   
11.5564	1500	   
11.5731	1500	   
11.5898	1500	   
11.6065	50	   
11.6232	50	   
11.6399	50	   
11.6566	50	   
11.6733	50	   
11.69	50	   
11.7067	50	   
11.7234	50	   
11.7401	50	   
11.7568	50	   
11.7735	50	   
11.7902	50	   
11.8069	50	   
11.8236	50	   
11.8403	50	   
11.857	50	   
11.8737	50	   
11.8904	50	   
11.9071	50	   
11.9238	50	   
11.9405	50	   
11.9572	50	   
11.9739	50	   
11.9906	50	   
12.0073	50	   
12.024	50	   
12.0407	50	   
12.0574	50	   
12.0741	50	   
12.0908	50	   
12.1075	1500	   
12.1242	1500	   
12.1409	1500	   
12.1576	1500	   
12.1743	1500	   
12.191	1500	   
12.2077	1500	   
12.2244	1500	   
12.2411	1500	   
12.2578	1500	   
12.2745	50	   
12.2912	50	   
12.3079	50	   
12.3246	50	   
12.3413	50	   
12.358	50	   
12.3747	50	   
12.3914	50	   
12.4081	50	   
12.4248	50	   
12.4415	50	   
12.4582	50	   
12.4749	50	   
12.4916	50	   
12.5083	50	   
12.525	50	   
12.5417	50	   
12.5584	50	   
12.5751	50	   
12.5918	50	   
12.6085	50	   
12.6252	50	   
12.6419	50	   
12.6586	50	   
12.6753	50	   
12.692	50	   
12.7087	50	   
12.7254	50	   
12.7421	50	   
12.7588	50	   
12.7755	1500	   
12.7922	1500	   
